no	url	Lat	Lng	Price	DateListed	LastEdit	SelerType	Make	Model	Variant	BodyType	Year	Km	Trans	DriveTrain	Fuel	AC	Cyl	EngLit	Reg	RegExp	RegNum	Country	State
901	https://www.gumtree.com.au//s-ad/ashmore/cars-vans-utes/2005-audi-a4/1140115143	-27.988767	153.37641	3000	 24/02/2017	 24/02/2017	Private seller	Audi	A4	2	Sedan	2005	173000	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	2				Germany	Queensland
902	https://www.gumtree.com.au//s-ad/waterloo/cars-vans-utes/2005-audi-a6-sedan/1139962418	-33.9004	151.20664	12000	 22/02/2017	 22/02/2017	Private seller	Audi	A6	3.0 TDi QUATTRO	Sedan	2005	140000	Automatic	All Wheel Drive	Diesel	Yes	6	3	Yes	14-12-17		Germany	New South Wales
903	https://www.gumtree.com.au//s-ad/angaston/cars-vans-utes/audi-tt-quattro/1140380377	-34.52984	139.06225	15000	 26/02/2017	 26/02/2017	Private seller	Audi	TT	QUATTRO	Coupe (2 door)	2005	132000	Manual	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	1		26-04-17		Germany	South Australia
904	https://www.gumtree.com.au//s-ad/newton/cars-vans-utes/2004-audi-a4-sedan-luxury-sunroof/1138396663	-34.880165	138.6815087	7500	 07/02/2017	 07/02/2017	Private seller	Audi	A4	2	Sedan	2004	197067	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	n	Yes	07-03-17		Germany	South Australia
905	https://www.gumtree.com.au//s-ad/burwood/cars-vans-utes/2005-audi-a6-4f-2-4-grey-7-speed-cvt-multitronic-sedan/1127720683	-33.8687439	151.1000061	9850	 27/02/2017	 19/03/2017	Dealer used	Audi	A6	2.4	Sedan	2005	135679	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	6	2			NXJ10R	Germany	New South Wales
906	https://www.gumtree.com.au//s-ad/wingham/cars-vans-utes/2004-audi-a4-sedan/1138511046	-31.85813	152.355781	8000	 09/02/2017	 10/02/2017	Private seller	Audi	A4	S LINE	Sedan	2004	127000	Manual	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	1	Yes		Bal56a	Germany	New South Wales
907	https://www.gumtree.com.au//s-ad/hurstville/cars-vans-utes/audi-s3-my16-5000kms-bought-new-5-months-ago/1141076098	-33.961696	151.100905	75000	 05/03/2017	 05/03/2017	Private seller	Audi	S3	2.0 TFSI QUATTRO	Sedan	2016	5500	Automatic	All Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes	10-10-17	dki95k	Germany	New South Wales
908	https://www.gumtree.com.au//s-ad/holroyd/cars-vans-utes/car-on-sale/1138472689	-33.830027	150.997565	5500	 08/02/2017	 05/03/2017	Private seller	Audi	A4	2	Sedan	2004	135000	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	n	Yes	07-03-17		Germany	New South Wales
909	https://www.gumtree.com.au//s-ad/south-perth/cars-vans-utes/swap-audi-a4-for-a-wrx-or-/1138543158	-31.978794	115.862694	4000	 08/02/2017	 12/02/2017	Private seller	Audi	A4	2	Sedan	2004	200088	Manual	Front Wheel Drive	Petrol - Premium Unleaded	Yes	0	n	No			Germany	Western Australia
910	https://www.gumtree.com.au//s-ad/the-vines/cars-vans-utes/2005-audi-a4-sedan/1115318400	-31.7680836	116.0040436	8950	 01/03/2017	 01/03/2017	Private seller	Audi	A4	2.0 SPORTS EDITION	Sedan	2005	152000	Automatic	Front Wheel Drive	Petrol - Premium Unleaded	Yes	4	2	Yes	18-11-16	1ESM847	Germany	Western Australia
